,District code,State Name,District name,District_elecname,malepct,femalepct,literacyrate,scpct,stpct,hindupct,muslimpct,christianpct,buddhistpct,jainpct,sikhpct,urbanpct,ruralpct,primarypct,middlepct,secondarypct,higherpct,gradpct,nda_voteshare,upa_voteshare,mtp_voteshare,topparty
0,1,JAMMU AND KASHMIR,Kupwara,Kupwara,0.5448242898866438,0.45517571011335617,0.5051438839828392,0.0012041077538564769,0.08083147776651799,0.04265850447059472,0.9459208551922551,0.0019532282266755824,7.58312135062285e-05,4.480935343549866e-05,0.006434163570225448,0.1278514180024661,0.8721485819975339,0.14629379084026597,0.14385416966521777,0.10787299576844468,0.05715334350441866,0.031306312789660035,2116.0,70820.0,0.0,1
1,2,JAMMU AND KASHMIR,Badgam,Budgam,0.528084431737524,0.47191556826247605,0.44530842658989445,0.00048822877763699923,0.031724256877325885,0.013413024298668648,0.9765291975402822,0.0019754691573410105,6.235530583950805e-05,7.960251809298902e-06,0.007375173301315431,0.14475162240003406,0.855248377599966,0.11268112003879502,0.11585690436973431,0.09261055324699213,0.05764487512855029,0.038948298398312195,1337.0,59645.0,0.0,1
2,3,JAMMU AND KASHMIR,Leh(Ladakh),Leh,0.5916006802160511,0.408399319783949,0.7024654086165694,0.003655786705821541,0.7180998898769169,0.1714174413987879,0.14276296568205143,0.004929318959898716,0.6639972431772382,0.0007716107186467597,0.008180571890895742,0.3212486671324043,0.6787513328675957,0.14039581984648108,0.16554147785073522,0.1504207897900675,0.08252103948950337,0.05731064459446962,30967.0,19344.0,0.0,0
3,4,JAMMU AND KASHMIR,Kargil,Kargil,0.5524424368972032,0.4475575631027968,0.6124628911521143,0.00012783909319469893,0.8688512947259271,0.07344355904035454,0.7687319782389455,0.004289711793866564,0.1429383105353617,0.00019886081163619836,0.008316643229499581,0.16147391159853772,0.8385260884014623,0.15540914717571178,0.16999478793406736,0.13794058244836796,0.08002149977197212,0.025058635741742132,10348.0,1103.0,0.0,0
4,5,JAMMU AND KASHMIR,Punch,Poonch,0.5282728826533287,0.4717271173466713,0.5488774943114495,0.001166021789507901,0.36931223588872464,0.06837585328258203,0.9044617110740613,0.0020090807092600165,0.00017406440382941688,2.0971614919206852e-05,0.023463042771608628,0.10358325192662542,0.8964167480733746,0.15917820692459678,0.15297895569690192,0.10180032443853128,0.06523468751795683,0.03085702161892175,17852.0,132266.0,156.0,1
5,6,JAMMU AND KASHMIR,Rajouri,Rajouri,0.5375824038977919,0.46241759610220806,0.5667815975654367,0.07496244639368632,0.36240592140594474,0.3453842142540258,0.6271319941159531,0.0015301635235789948,0.0002942023458356358,4.047228037950546e-05,0.024147941751048778,0.0819747352255382,0.9180252647744618,0.14414161369438694,0.1707012426190562,0.1034407005992628,0.05618226125598831,0.029148745533773848,117110.0,233202.0,1176.0,1
6,7,JAMMU AND KASHMIR,Kathua,Kathua,0.5290241469092443,0.47097585309075574,0.631378815284661,0.22909795842221808,0.08647627081525222,0.8761069699157251,0.10420238954634309,0.002965438367386667,3.893354530485777e-05,2.595569686990518e-05,0.015493928800279024,0.1557992431823577,0.8442007568176423,0.13607372641144722,0.17505580972216053,0.15056204544071172,0.07846098419231776,0.04002507119132576,276276.0,49336.0,8894.0,0
7,8,JAMMU AND KASHMIR,Baramula,Baramulla,0.5304685632202722,0.46953143677972775,0.5408014967674862,0.0014642290625660316,0.03740430677781316,0.03037680089758432,0.9515356052692405,0.001485061589878963,0.0001388835154195423,2.8768728194048046e-05,0.014652210876761712,0.18858078812987764,0.8114192118701223,0.129257630343063,0.15191638246559483,0.11913465883166569,0.06400130804302843,0.053343629753117926,2190.0,51340.0,0.0,1
8,9,JAMMU AND KASHMIR,Bandipore,Bandipora,0.529482551143201,0.470517448856799,0.4741556017866977,0.0009994085133288463,0.1921668808256338,0.021515327663219726,0.9739286952619878,0.0014583205857757653,0.00011217850659813579,4.334169573109792e-05,0.0014149788900446674,0.1789938415106652,0.8210061584893348,0.13011480069629597,0.13454652623228963,0.09813696758698191,0.05135182777692087,0.03503789965405548,1194.0,44952.0,0.0,1
9,10,JAMMU AND KASHMIR,Srinagar,Srinagar,0.5264462589412118,0.4735537410587882,0.6052445406761969,0.0008634985111118837,0.007224119098112997,0.03439440698754638,0.9519036180425912,0.0022201937373719405,0.00023042797347086783,5.983042118190955e-05,0.009853423553296374,0.982771441318797,0.017228558681203026,0.1427264357138504,0.14718506696182246,0.1452794015189323,0.10930564271325911,0.10035296811098648,42829.0,43774.0,1051.0,1
